m49_code,country,region,cpc_code,commodity,year,loss_percentage,loss_percentage_original,loss_quantity,activity,food_supply_stage,treatment,cause_of_loss,sample_size,method_data_collection,reference,url,notes
204,Benin,Central,112,Maize (corn),1995,2,2.0%,,Storage,Storage,Recommended harvesting time,,,Controlled Experiment,"C. Borgemeisterab; C. Addaa; M. SeÂtamouab; K. Hellab; B. Djomamoua; R.H. Markhama; K.F. Cardwella, (1998), Timing Of Harvest In Maize: Effects On Post Harvest Losses Due To Insects And Fungi In Central Benin, With Particular Reference To Prostephanus Truncatus (Horn) (Coleoptera: Bostrichidae)",,
204,Benin,Central,112,Maize (corn),1995,7.2,7.2%,,Storage,Storage,Recommended harvesting time,,,Controlled Experiment,"C. Borgemeisterab; C. Addaa; M. SeÂtamouab; K. Hellab; B. Djomamoua; R.H. Markhama; K.F. Cardwella, (1998), Timing Of Harvest In Maize: Effects On Post Harvest Losses Due To Insects And Fungi In Central Benin, With Particular Reference To Prostephanus Truncatus (Horn) (Coleoptera: Bostrichidae)",,
204,Benin,Central,112,Maize (corn),1995,2.1,2.1%,,Storage,Storage,Late harvesting time,,,Controlled Experiment,"C. Borgemeisterab; C. Addaa; M. SeÂtamouab; K. Hellab; B. Djomamoua; R.H. Markhama; K.F. Cardwella, (1998), Timing Of Harvest In Maize: Effects On Post Harvest Losses Due To Insects And Fungi In Central Benin, With Particular Reference To Prostephanus Truncatus (Horn) (Coleoptera: Bostrichidae)",,
204,Benin,Central,112,Maize (corn),1995,1.7,1.7%,,Storage,Storage,Early harvesting,,,Controlled Experiment,"C. Borgemeisterab; C. Addaa; M. SeÂtamouab; K. Hellab; B. Djomamoua; R.H. Markhama; K.F. Cardwella, (1998), Timing Of Harvest In Maize: Effects On Post Harvest Losses Due To Insects And Fungi In Central Benin, With Particular Reference To Prostephanus Truncatus (Horn) (Coleoptera: Bostrichidae)",,
204,Benin,Central,112,Maize (corn),1995,5.5,5.5%,,Storage,Storage,Early harvesting,,,Controlled Experiment,"C. Borgemeisterab; C. Addaa; M. SeÂtamouab; K. Hellab; B. Djomamoua; R.H. Markhama; K.F. Cardwella, (1998), Timing Of Harvest In Maize: Effects On Post Harvest Losses Due To Insects And Fungi In Central Benin, With Particular Reference To Prostephanus Truncatus (Horn) (Coleoptera: Bostrichidae)",,
204,Benin,Central,112,Maize (corn),1995,3.5,3.5%,,Storage,Storage,Late harvesting time,,,Controlled Experiment,"C. Borgemeisterab; C. Addaa; M. SeÂtamouab; K. Hellab; B. Djomamoua; R.H. Markhama; K.F. Cardwella, (1998), Timing Of Harvest In Maize: Effects On Post Harvest Losses Due To Insects And Fungi In Central Benin, With Particular Reference To Prostephanus Truncatus (Horn) (Coleoptera: Bostrichidae)",,
204,Benin,Central,112,Maize (corn),1995,2.4,2.4%,,Storage,Storage,Recommended harvesting time,,,Controlled Experiment,"C. Borgemeisterab; C. Addaa; M. SeÂtamouab; K. Hellab; B. Djomamoua; R.H. Markhama; K.F. Cardwella, (1998), Timing Of Harvest In Maize: Effects On Post Harvest Losses Due To Insects And Fungi In Central Benin, With Particular Reference To Prostephanus Truncatus (Horn) (Coleoptera: Bostrichidae)",,
204,Benin,Central,112,Maize (corn),1995,3.9,3.9%,,Storage,Storage,Early harvesting,,,Controlled Experiment,"C. Borgemeisterab; C. Addaa; M. SeÂtamouab; K. Hellab; B. Djomamoua; R.H. Markhama; K.F. Cardwella, (1998), Timing Of Harvest In Maize: Effects On Post Harvest Losses Due To Insects And Fungi In Central Benin, With Particular Reference To Prostephanus Truncatus (Horn) (Coleoptera: Bostrichidae)",,
204,Benin,Central,112,Maize (corn),1995,1.8,1.8%,,Storage,Storage,Recommended harvesting time,,,Controlled Experiment,"C. Borgemeisterab; C. Addaa; M. SeÂtamouab; K. Hellab; B. Djomamoua; R.H. Markhama; K.F. Cardwella, (1998), Timing Of Harvest In Maize: Effects On Post Harvest Losses Due To Insects And Fungi In Central Benin, With Particular Reference To Prostephanus Truncatus (Horn) (Coleoptera: Bostrichidae)",,
204,Benin,Central,112,Maize (corn),1995,16.4,16.4%,,Storage,Storage,Late harvesting time,,,Controlled Experiment,"C. Borgemeisterab; C. Addaa; M. SeÂtamouab; K. Hellab; B. Djomamoua; R.H. Markhama; K.F. Cardwella, (1998), Timing Of Harvest In Maize: Effects On Post Harvest Losses Due To Insects And Fungi In Central Benin, With Particular Reference To Prostephanus Truncatus (Horn) (Coleoptera: Bostrichidae)",,
